Date Occur,Year Occurred,Time Occur,Type,Highway,Milepost,Latitude,Longitude,Age,Dispositio,Contributi,Drug Impai,Coll. Type,Fatalities,Injuries,No. of Veh,Driver Age,Contribu_1,Capitol,is_highway
4/9/2017,2017,1:36,Contact,US60,137,33.70107,-112.430155,61,FI Only,Not Familiar With Area,,,,,,61,,,Y
4/10/2017,2017,22:10,Collision,US60,216,33.2632829,-111.2728443,18,,Flight From LE,,Fatal,1,3,3,18,,,Y
4/14/2017,2017,2:10,Collision,I17,212.5,33.63342652,-112.1159939,21,Deceased,,,Fatal,3,0,2,21,,,Y
4/16/2017,2017,4:20,Contact,I10,259,32.20558,-110.9795867,55,FI Only,Medical,,,,,,55,,,Y
4/20/2017,2017,20:29,Collision,SR101,20,33.66899173,-112.1691371,63,Citation,Inattention,,Non Injury,0,0,2,63,,,Y
4/21/2017,2017,22:43,Contact,I10,158.8,33.3312129,-111.9723701,45,Citation,Intentional,,,,,,45,,,Y
4/23/2017,2017,3:53,Contact,I8,169,32.82827167,-111.828655,80,Citation,Medical,,,,,,80,,,Y
5/4/2017,2017,14:31,Collision,SR68,11,35.20975044,-114.4024302,59,Arrest,Impaired - Alcohol,,Injury,0,2,2,59,,,Y
5/6/2017,2017,3:15,Contact,I10,309,31.9731081,-110.2359642,38,Arrest,Impaired - Alcohol,,,,,,38,,,Y
5/6/2017,2017,12:31,Contact,I40,53,35.2170233,-114.0123176,76,Citation,Not Familiar With Area,,,,,,76,,,Y
5/9/2017,2017,19:26,Collision,I19,38,31.8316484,-111.0012351,63,Arrest,Impaired - Alcohol,,Non Injury,0,0,1,63,,,Y
5/12/2017,2017,8:03,Collision,US93,171,34.24934737,-113.0813719,20,No Contact,Hit and Run,,Non Injury,0,0,1,20,,,Y
5/14/2017,2017,0:34,Collision,I15,26.2,36.97948656,-113.6676234,52,Arrest,Impaired - Alcohol,,Non Injury,0,0,2,52,,,Y
5/14/2017,2017,5:42,Contact,I17,283,34.53589333,-111.92945,30,Citation,Not Familiar With Area,,,,,,30,,,Y
5/29/2017,2017,19:53,Collision,US60,179.2,33.38660365,-111.8397551,32,Arrest,Impaired - Drugs,PENDING,Non Injury,0,0,2,32,,,Y
5/30/2017,2017,2:32,Collision,I15,5.2,36.86106349,-113.9782702,16,Citation,Intentional,,Injury,0,1,1,16,,,Y
6/1/2017,2017,2:42,Collision,I10,142.4,33.46247573,-112.1087755,26,Deceased,,,Fatal,1,1,2,26,,,Y
6/2/2017,2017,20:25,Collision,I19,61.1,32.16637451,-110.9854228,42,Arrest,Impaired - Alcohol,,Injury,0,2,2,42,,,Y
6/3/2017,2017,1:42,Contact,I40,125,35.2961774,-112.8314229,28,Arrest,Impaired - Alcohol,,,,,,28,,,Y
6/4/2017,2017,4:13,Contact,I10,199,32.135035,-110.9340617,31,Arrest,Impaired - Alcohol,,,,,,31,,,
6/6/2017,2017,19:49,Collision,SR51,0,33.4633933,-112.0380643,56,Deceased,Impaired - Unknown,,Fatal,2,1,3,56,,,Y
6/10/2017,2017,0.143055556,Contact,SR101,49,33.4732033,-111.8883229,25,Arrest,Impaired - Alcohol,,,,,,25,,,Y
6/10/2017,2017,22:20,Contact,I17,240,34.0220052,-112.14844,36,Arrest,Impaired - Alcohol,,,,,,36,,,Y
6/14/2017,2017,22:25,Contact,SR202,49.6,33.2887051,-111.8821407,83,Warning,Elderly,,,,,,83,,,Y
6/17/2017,2017,19:55,Collision,I19,39.1,31.84649035,-110.9952698,24,Arrest,Impaired - Alcohol,,Injury,0,1,3,24,,,Y
6/25/2017,2017,5:07,Collision,SR86,166.8,32.17372877,-111.0624834,28,Arrest,Impaired - Drugs,Xanax,Injury,0,1,1,28,,,Y
6/25/2017,2017,18:45,Contact,I17,259,34.28513,-112.1209117,21,Citation,Intentional,,,,,,21,,,Y
6/25/2017,2017,19:17,Contact,SR260,218,34.5873598,-111.8873661,91,FI Only,Elderly,,,,,,91,,,Y
6/26/2017,2017,17:19,Contact,I10,267,32.13528167,-110.933255,60,Citation,Intentional,,,,,,60,,,
7/3/2017,2017,6:30,Collision,I10,318.1,32.03360732,-110.1028521,60,Deceased,Medical,,Non Injury,0,0,2,60,,,Y
7/4/2017,2017,14:45,Collision,I17,244.5,34.08757784,-112.1446017,76,Arrest,Impaired - Alcohol,,Fatal,1,0,5,76,,,Y
7/6/2017,2017,0.340277778,Collision,SR101,2.2,33.47867147,-112.2633511,53,Citation,Inattention,,Non Injury,0,0,1,53,,,Y
7/6/2017,2017,0.929861111,Collision,I19,52.3,32.04009881,-110.9928456,43,Arrest,Impaired - Alcohol,,Injury,0,2,2,43,,,Y
7/7/2017,2017,20:33,Collision,SR202,11.9,33.44515538,-111.8579651,24,Arrest,Impaired - Alcohol,,Non Injury,0,0,1,24,,,Y
7/7/2017,2017,0.974305556,Collision,SR87,190,33.57559025,-111.6916377,66,Deceased,,,Fatal,1,1,2,66,,,Y
7/8/2017,2017,22:04,Collision,SR77,90.2,32.54395932,-110.9307912,,No Contact,Hit and Run,,Injury,0,2,2,,,,Y
7/9/2017,2017,2:02,Contact,SR101,23,33.57395833,-112.32724,31,Arrest,Impaired - Alcohol,,,,,,31,,,
7/10/2017,2017,0.151388889,Collision,I15,22.6,36.970879,-113.728194,32,Deceased,,,Fatal,1,3,2,32,,,Y
7/10/2017,2017,12:47,Contact,I10,153,33.4110717,-111.9859377,68,FI Only,Medical,,,,,,68,,,Y
7/12/2017,2017,22:05,Contact,I8,8,32.68298,-114.6346117,80,FI Only,Medical,,,,,,80,,,
7/21/2017,2017,0:18,Collision,SR101,39.6,33.60432537,-111.8916588,29,Deceased,Impaired - Alcohol,,Fatal,1,1,2,29,,,Y
7/24/2017,2017,14:52,Contact,I19,49.6,32.008625,-110.99204,85,FI Only,Elderly,,,,,,85,,,Y
7/25/2017,2017,2.92E-02,Collision,I40,200,35.21201789,-111.5933117,82,Deceased,,,Fatal,1,4,3,82,,,Y
7/27/2017,2017,21:40,Contact,I10,281,32.0130661,-110.6991203,59,Arrest,Impaired - Alcohol,,,,,,59,,,Y
7/29/2017,2017,23:57,Contact,I17,205.9,33.539781,-112.1124239,31,Arrest,Impaired - Alcohol,,,,,,31,,,Y
8/1/2017,2017,0.977083333,Collision,I10,168,33.21298622,-111.9155534,70,Arrest,Impaired - Alcohol,,Injury,0,1,2,70,,,Y
8/2/2017,2017,19:31,Contact,I17,212,33.6260455,-112.1167039,33,Arrest,Impaired - Alcohol,,,,,,33,,,Y
8/4/2017,2017,0.992361111,Collision,I-10,212,32.71336785,-111.4982534,32,Self Correct,Inattention,,Non Injury,0,0,1,32,,,Y
8/7/2017,2017,14:30,Contact,SR85,133,33.1186455,-112.6497896,81,FI Only,Elderly,,,,,,81,,,Y
8/11/2017,2017,21:39,No Contact,SR51,7,33.5584651,-112.0382717,,No Contact,,,,,,,,,,Y
8/12/2017,2017,1:06,Collision,SR86,169,32.17646366,-111.0262065,42,Citation,,,Injury,0,1,1,42,,,Y
8/12/2017,2017,2:31,No Contact,I10,143,33.46226667,-112.1610233,,No Contact,,,,,,,,,,Y
8/12/2017,2017,3:09,No Contact,I17,219,33.70242833,-112.11499,,No Contact,,,,,,,,,,Y
8/12/2017,2017,3:56,No Contact,I17,219,33.7269147,-112.1202562,,No Contact,,,,,,,,,,Y
8/13/2017,2017,1:57,No Contact,I10,160,33.3164649,-111.9723987,,No Contact,,,,,,,,,,Y
8/14/2017,2017,11:15,Contact,US93,107,34.93849675,-113.663626,29,Citation,Not Familiar With Area,,,,,,29,,,Y
8/14/2017,2017,12:47,No Contact,I17,222,33.7696287,-112.129584,,No Contact,,,,,,,,,,Y
8/14/2017,2017,20:40,No Contact,I10,157,33.3604509,-111.9692589,,No Contact,,,,,,,,,,Y
8/15/2017,2017,2:50,Collision,I17,249.6,34.15248376,-112.1413212,43,Arrest,Impaired - Alcohol,,Injury,0,4,2,43,,,Y
8/16/2017,2017,1:46,No Contact,SR202,1,33.46219833,-112.0193517,,No Contact,,,,,,,,,,Y
8/17/2017,2017,10:27,Collision,I17,199.3,33.44326272,-112.108266,21,Arrest,Flight From LE,,Non Injury,0,0,2,21,,,Y
8/17/2017,2017,22:57,No Contact,US60,190.5,33.3865491,-111.6396306,,No Contact,,,,,,,,,,Y
8/18/2017,2017,4:15,Collision,I17,319,34.90301707,-111.6418343,19,Arrest,Impaired - Alcohol,,Fatal,4,1,2,19,,,Y
8/20/2017,2017,1:09,No Contact,US60,188,33.3865491,-111.6914947,,No Contact,,,,,,,,,,Y
8/20/2017,2017,2:26,No Contact,I10,148.1,33.4962935,-112.1130771,,No Contact,,,,,,,,,,Y
8/20/2017,2017,5:00,Collision,I10,152.1,33.40999335,-111.9971922,23,Arrest,Impaired - Alcohol,,Injury,0,1,1,23,,,Y
8/20/2017,2017,0.964583333,Contact,US60,175,33.34987512,-111.8764757,43,Arrest,Intentional,,,,,,43,,,
8/21/2017,2017,1:55,Collision,I10,233,32.48874869,-111.253646,36,Deceased,Impaired - Alcohol,,Fatal,1,0,2,36,,,Y
8/22/2017,2017,23:45,No Contact,US60,176,33.3855923,-111.8990888,,No Contact,,,,,,,,,,Y
8/23/2017,2017,16:55,Contact,SR87,196,33.5935817,-111.5936049,62,Citation,Not Familiar With Area,,,,,,62,,,Y
8/24/2017,2017,2:34,Contact,I17,246,34.1044996,-112.1409171,47,Arrest,Imparied - Medical MJ,Marijuana,,,,,47,,,Y
8/25/2017,2017,13:00,Contact,SR143,0.8,33.4264556,-111.9778819,45,Citation,Not Familiar With Area,,,,,,45,,,Y
8/25/2017,2017,21:18,No Contact,SR101,5.5,33.522936,-112.2688987,,No Contact,,,,,,,,,,Y
8/27/2017,2017,0:04,No Contact,SR101,20,33.6682496,-112.172573,,No Contact,,,,,,,,,,Y
8/27/2017,2017,1:39,No Contact,I17,218,33.73168333,-112.1216133,,No Contact,,,,,,,,,,Y
8/27/2017,2017,0.173611111,Collision,I10,152,33.41006026,-111.9973039,26,Arrest,Impaired - Alcohol,,Injury,0,1,1,26,,,Y
8/28/2017,2017,15:26,Contact,I10,135,33.46169393,-112.2398861,75,Warning,Elderly,,,,,,75,,,Y
8/29/2017,2017,4:01,No Contact,I10,140.7,33.423815,-112.0486867,,No Contact,,,,,,,,,,
8/29/2017,2017,15:10,No Contact,US60,132,33.7442696,-112.4853335,,No Contact,,,,,,,,,,Y
9/1/2017,2017,20:22,No Contact,SR101,59,33.3290872,-111.8932503,,No Contact,,,,,,,,,,Y
9/2/2017,2017,3:22,No Contact,SR101,21,33.423815,-112.0486867,,No Contact,,,,,,,,,,
9/2/2017,2017,3:32,No Contact,I17,218.9,33.7269147,-112.1202562,,No Contact,,,,,,,,,,Y
9/2/2017,2017,22:31,No Contact,SR202,25,33.4508178,-111.6688915,,No Contact,,,,,,,,,,Y
9/3/2017,2017,1:00,No Contact,I17,195,33.4272177,-112.0490605,,No Contact,,,,,,,,,,Y
9/3/2017,2017,1:27,No Contact,SR202,230,33.42957833,-111.89183,,No Contact,,,,,,,,,,Y
9/5/2017,2017,4:15,Contact,I40,22.8,34.8329066,-114.1448427,73,Citation,Elderly,,,,,,73,,,Y
9/5/2017,2017,5:43,Contact,SR202,24,33.48169,-111.718955,38,Citation,Not Familiar With Area,,,,,,38,,,Y
9/5/2017,2017,23:12,Contact,I17,222,33.78372,-112.1319783,73,Citation,Elderly,,,,,,73,,,Y
9/6/2017,2017,7:48,Contact,I10,328,32.1443365,-109.9980721,77,Citation,Elderly,,,,,,77,,,Y
9/6/2017,2017,11:40,Contact,I10,340,32.26890833,-109.84638,75,Citation,Elderly,,,,,,75,,,
9/7/2017,2017,2:29,No Contact,SR101,33.5,33.6598672,-111.9340736,,No Contact,,,,,,,,,,Y
9/7/2017,2017,3:46,No Contact,SR101,36.6,33.6412862,-111.8903111,,No Contact,,,,,,,,,,Y
9/8/2017,2017,0:15,No Contact,SR101,36,33.6524531,-111.9005441,,No Contact,,,,,,,,,,Y
9/8/2017,2017,0:20,No Contact,SR101,32.4,33.6705529,-111.9660504,,No Contact,,,,,,,,,,Y
9/8/2017,2017,6:02,Contact,I10,143,33.4618983,-112.0950127,25,,,,,,,,25,,,Y
9/9/2017,2017,2:45,No Contact,I10,151.5,33.4109285,-112.0019977,,No Contact,,,,,,,,,,Y
9/10/2017,2017,2:37,Contact,I8,8,32.6781785,-114.5155121,29,Arrest,Impaired - Alcohol,,,,,,29,,,Y
9/10/2017,2017,3:17,Contact,SR101,14.6,33.6275925,-112.2404227,56,Arrest,Impaired - Alcohol,,,,,,56,,,Y
9/10/2017,2017,6:06,Contact,SR101,16,33.6275925,-112.2404227,56,Arrest,Impaired - Alcohol,,,,,,56,,,Y
9/10/2017,2017,6:09,No Contact,SR101,25.2,33.6687652,-112.086297,,No Contact,,,,,,,,,,Y
9/10/2017,2017,23:25,No Contact,I17,203,33.42404333,-112.0482733,,No Contact,,,,,,,,,,
9/13/2017,2017,2:24,Collision,I10,262.6,32.17679278,-110.943975,29,Arrest,Impaired - Alcohol,,Non Injury,0,0,1,29,,,Y
9/15/2017,2017,0:42,No Contact,SR347,185.3,33.2152691,-111.9900516,,No Contact,,,,,,,,,,Y
9/16/2017,2017,1:04,Contact,SR51,12.6,33.423885,-112.0486283,26,Arrest,Impaired - Alcohol,,,,,,26,,,
9/16/2017,2017,4:23,No Contact,I17,203,33.61699,-112.1166,,No Contact,,,,,,,,,,Y
9/17/2017,2017,4:23,No Contact,I17,205,33.42404333,-112.0482733,,No Contact,,,,,,,,,,
9/17/2017,2017,5:26,Contact,SR87,194.2,33.7727341,-111.493406,21,Arrest,Impaired - Alcohol,,,,,,21,,,Y
9/17/2017,2017,6:18,No Contact,SR202,7.7,33.4359667,-111.9216748,,No Contact,,,,,,,,,,Y
9/17/2017,2017,9:31,No Contact,SR303,115,33.69836,-112.3340083,,No Contact,,,,,,,,,,Y
9/17/2017,2017,20:58,No Contact,SR202,4,33.5681882,-112.1172367,,No Contact,,,,,,,,,,Y
9/20/2017,2017,23:44,No Contact,SR202,30,33.3942841,-111.6451023,,No Contact,,,,,,,,,,Y
9/22/2017,2017,13:50,Contact,I19,39.1,31.8452926,-110.9957635,79,Citation,Elderly,,,,,,79,,,Y
9/24/2017,2017,9:10,Contact,SR202,33,33.35357333,-111.644005,31,Citation,Intentional,,,,,,31,,,Y
9/24/2017,2017,19:14,Contact,I40,134.5,35.2425829,-112.6696426,35,Citation,Intentional,,,,,,35,,,Y
9/25/2017,2017,0.381944444,Collision,SR101,56,33.35912524,-111.8943759,16,Arrest,Intentional,,Injury,0,1,2,16,,,Y
9/26/2017,2017,23:45,No Contact,SR101,134,34.5,-112.24,,No Contact,,,,,,,,,,
9/27/2017,2017,0:50,No Contact,SR101,6.5,33.5375407,-112.2695977,,No Contact,,,,,,,,,,Y
9/27/2017,2017,4:19,No Contact,SR303,126,33.717587,-112.3100256,,No Contact,,,,,,,,,,Y
9/27/2017,2017,20:14,Contact,I19,26,31.669429,-111.0627881,47,Arrest,Impaired - Alcohol,,,,,,47,,,Y
9/28/2017,2017,3:47,No Contact,SR202,8.7,33.4358636,-111.9045548,,No Contact,,,,,,,,,,Y
9/28/2017,2017,22:22,No Contact,I10,147.5,33.4499469,-112.0375039,,No Contact,,,,,,,,,,Y
9/29/2017,2017,1:19,No Contact,SR101,33,33.6636888,-111.9508441,,No Contact,,,,,,,,,,Y
9/30/2017,2017,2:15,No Contact,US60,194,33.3866866,-111.5877779,,No Contact,,,,,,,,,,Y
9/30/2017,2017,4:30,No Contact,SR202,1,33.4619504,-112.0260963,,No Contact,,,,,,,,,,Y
9/30/2017,2017,0.202777778,Collision,I40,122,35.3163195,-112.8733229,19,Arrest,Impaired - Alcohol,,Non Injury,0,0,1,19,,,Y
9/30/2017,2017,11:23,Contact,SR202,25,33.4515319,-111.6700619,,Warning,Not Familiar With Area,,,,,,,,,Y
9/30/2017,2017,22:41,No Contact,SR202,44.6,33.2827521,-111.7972455,,No Contact,,,,,,,,,,Y
10/2/2017,2017,20:15,Contact,SR303,109,33.53735667,-112.4192317,70,Warning,Not Familiar With Area,,,,,,70,,,Y
10/4/2017,2017,11:40,Contact,US93,144,34.50454667,-113.409855,40,Arrest,Impaired - Alcohol,,,,,,40,,,Y
10/4/2017,2017,21:46,No Contact,US60,124,33.8222148,-112.5857501,,No Contact,,,,,,,,,,Y
10/7/2017,2017,22:34,Contact,SR101,6,33.5229933,-112.2691909,29,Warning,Intentional,,,,,,29,,,Y
10/8/2017,2017,0.100694444,Contact,US93,66,35.22553,-114.1310067,57,Arrest,Impaired - Alcohol,,,,,,57,,,Y
10/9/2017,2017,22:01,No Contact,US60,184,33.3862856,-111.7606966,,No Contact,,,,,,,,,,Y
10/11/2017,2017,20:21,No Contact,SR101,18,33.63868167,-112.2466317,,No Contact,,,,,,,,,,
10/11/2017,2017,21:13,No Contact,I17,217,33.45444833,-112.337485,,No Contact,,,,,,,,,,
10/12/2017,2017,2:31,No Contact,US60,177,33.3858501,-111.8822152,,No Contact,,,,,,,,,,Y
10/14/2017,2017,2:16,No Contact,SR101,19,33.638615,-112.23811,,No Contact,,,,,,,,,,Y
10/14/2017,2017,23:33,No Contact,I17,218,33.66964833,-112.1624517,,No Contact,,,,,,,,,,Y
10/15/2017,2017,1:21,No Contact,SR202,4,33.4559973,-111.9749198,,No Contact,,,,,,,,,,Y
10/16/2017,2017,0:54,No Contact,SR51,7,33.5584938,-112.0379967,,No Contact,,,,,,,,,,Y
10/16/2017,2017,5:59,No Contact,SR202,19,33.4656345,-111.7970393,,No Contact,,,,,,,,,,Y
10/16/2017,2017,22:06,Contact,I40,234,35.1101666,-111.028932,34,Arrest,Impaired - Alcohol,,,,,,34,,,Y
10/17/2017,2017,4:51,No Contact,I17,201,33.4657376,-112.1100085,,No Contact,,,,,,,,,,Y
10/18/2017,2017,3:04,No Contact,US60,177,33.3858501,-111.8822152,,No Contact,,,,,,,,,,Y
10/21/2017,2017,0:16,Contact,SR89A,331,34.56189912,-112.2595161,43,Arrest,Impaired - Alcohol,,,,,,43,,,Y
10/21/2017,2017,1:45,Collision,SR101,6.7,33.53336219,-112.2697062,46,Arrest,Impaired - Alcohol,,Injury,0,1,2,46,,,Y
10/21/2017,2017,23:45,Contact,SR101,26.2,33.55942,-112.0365883,40,No Contact,Impaired - Alcohol,,,,,,40,,,Y
10/22/2017,2017,3:24,No Contact,SR202,50,33.2887051,-111.8821407,,No Contact,,,,,,,,,,Y
10/22/2017,2017,20:54,Contact,I17,308,34.7749519,-111.6312769,27,Arrest,Impaired - Alcohol,,,,,,27,,,Y
10/23/2017,2017,0:41,No Contact,I10,109,33.4416218,-112.688722,,No Contact,,,,,,,,,,Y
10/23/2017,2017,11:13,Collision,I17,340,35.17780978,-111.6604965,26,Arrest,Impaired - Alcohol,,Non Injury,0,0,2,26,,,Y
10/24/2017,2017,21:13,No Contact,I10,149.2,33.4356974,-112.0378019,,No Contact,,,,,,,,,,Y
10/25/2017,2017,2:49,Contact,SR51,13.6,33.6462423,-112.0008919,,Other Agency,Impaired - Alcohol,,,,,,,,,Y
10/28/2017,2017,21:49,No Contact,SR51,0.6,33.4722923,-112.0387243,,No Contact,,,,,,,,,,Y
10/28/2017,2017,23:17,Contact,I17,202,33.46975333,-112.11098,48,,,,,,,,48,,,Y
10/29/2017,2017,4:06,No Contact,I10,144,33.418625,-112.0353617,,No Contact,,,,,,,,,,
10/30/2017,2017,2:43,Contact,SR51,5.7,33.1050034,-112.0270417,90,FI Only,Elderly,,,,,,90,,,Y
10/30/2017,2017,0.690972222,Contact,I40,211,35.2026821,-111.4101381,77,,Elderly,,,,,,77,,,Y
10/31/2017,2017,0.784722222,No Contact,SR69,271,34.4008277,-112.2336102,,No Contact,,,,,,,,,,Y
11/1/2017,2017,0.971527778,No Contact,SR51,10,33.4962935,-112.1128708,,No Contact,,,,,,,,,,Y
11/2/2017,2017,0.629861111,No Contact,SR87,198,33.92266167,-111.4544733,,No Contact,,,,,,,,,,Y
11/2/2017,2017,0.805555556,No Contact,I10,268,32.1259675,-110.8765253,,No Contact,,,,,,,,,,Y
11/3/2017,2017,12:00,Contact,SR347,177,33.1050034,-112.0270417,55,Citation,Intentional,,,,,,55,,,Y
11/4/2017,2017,5.28E-02,No Contact,SR260,211,34.6630418,-111.9667035,,No Contact,,,,,,,,,,Y
11/4/2017,2017,0.361805556,No Contact,US93,45,35.494014,-114.3280173,,No Contact,,,,,,,,,,Y
11/4/2017,2017,0.396527778,No Contact,SR87,239,34.081461,-111.3556727,,No Contact,,,,,,,,,,Y
11/4/2017,2017,0.730555556,No Contact,I10,261,32.18575167,-110.9622233,,No Contact,,,,,,,,,,Y
11/4/2017,2017,0.805555556,No Contact,SR51,12,33.6183048,-112.009641,,No Contact,,,,,,,,,,Y
11/5/2017,2017,0.24375,No Contact,SR347,182,33.15408667,-112.0076983,,No Contact,,,,,,,,,,Y
11/5/2017,2017,0.455555556,No Contact,I10,230,32.5312033,-111.2874793,,No Contact,,,,,,,,,,Y
11/7/2017,2017,0.564583333,No Contact,US93,67,35.2217559,-114.1264508,,No Contact,,,,,,,,,,Y
11/8/2017,2017,19:32,Collision,SR89A,362.2,34.78844847,-111.9186622,72,Citation,Impaired - Alcohol,Alcohol,Non Injury,0,0,2,72,,,Y
11/9/2017,2017,0.379166667,No Contact,I10,311,31.9832666,-110.2043827,,No Contact,,,,,,,,,,Y
11/9/2017,2017,0.977777778,No Contact,US60,220,33.2734358,-111.2094195,,No Contact,,,,,,,,,,Y
11/10/2017,2017,0.922222222,No Contact,SR101,6,33.5375178,-112.2698956,,No Contact,,,,,,,,,,Y
11/11/2017,2017,4.24E-02,No Contact,US60,138,33.6852263,-112.4102244,,No Contact,,,,,,,,,,Y
11/11/2017,2017,0.128472222,Contact,I10,128,33.42397833,-112.04861,29,Arrest,Impaired - Alcohol,,,,,,29,,,
11/11/2017,2017,0.295138889,No Contact,SR87,209,33.7474381,-111.5034099,,No Contact,,,,,,,,,,Y
11/11/2017,2017,0.90625,No Contact,SR101,33,33.6636888,-111.9508441,,No Contact,,,,,,,,,,Y
